Port Name,State,Port Code,Border,Date,Measure,Value
Alexandria Bay,NY,708,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,740
Baudette,MN,3424,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,83
Blaine,WA,3004,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,17029
Brownsville,TX,2301,US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,4668
Buffalo-Niagara Falls,NY,901,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,9910
Calais,ME,115,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,279
Calexico East,CA,2507,US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,4080
Champlain-Rouses Point,NY,712,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,22612
Columbus,NM,2406,US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,1452
Derby Line,VT,209,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,2016
Detroit,MI,3801,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,7836
Douglas,AZ,2601,US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,107
Dunseith,ND,3422,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,76
Eagle Pass,TX,2303,US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,8525
El Paso,TX,2402,US-Mexico Border,12/01/2019 12:00:00 AM,Bus Passengers,39745
Frontier,WA,3020,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,214
Grand Portage,MN,3613,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,563
Hansboro,ND,3415,US-Canada Border,12/01/2019 12:00:00 AM,Bus Passengers,50
El Paso,TX,2402,US-Mexico Border,02/01/1996 12:00:00 AM,Personal Vehicles,1242710
Laurier,WA,3016,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Full,0
Sherwood,ND,3414,US-Canada Border,02/01/1996 12:00:00 AM,Rail Containers Full,0
Laredo,TX,2304,US-Mexico Border,02/01/1996 12:00:00 AM,Rail Containers Full,6241
Columbus,NM,2406,US-Mexico Border,02/01/1996 12:00:00 AM,Personal Vehicle Passengers,43042
Trout River,NY,715,US-Canada Border,02/01/1996 12:00:00 AM,Trains,61
Danville,WA,3012,US-Canada Border,02/01/1996 12:00:00 AM,Trucks,245
Massena,NY,704,US-Canada Border,02/01/1996 12:00:00 AM,Trucks,2362
Calais,ME,115,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Full,7635
Limestone,ME,118,US-Canada Border,02/01/1996 12:00:00 AM,Personal Vehicles,3432
Norton,VT,211,US-Canada Border,02/01/1996 12:00:00 AM,Trucks,1590
Turner,MT,3306,US-Canada Border,02/01/1996 12:00:00 AM,Rail Containers Empty,0
Noyes,MN,3402,US-Canada Border,02/01/1996 12:00:00 AM,Pedestrians,0
Nighthawk,WA,3011,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Empty,0
Richford,VT,203,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Full,0
Frontier,WA,3020,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Full,0
Eastport,ID,3302,US-Canada Border,02/01/1996 12:00:00 AM,Pedestrians,134
Progreso,TX,2309,US-Mexico Border,02/01/1996 12:00:00 AM,Rail Containers Full,0
Vanceboro,ME,105,US-Canada Border,02/01/1996 12:00:00 AM,Buses,5
Del Rio,TX,2302,US-Mexico Border,02/01/1996 12:00:00 AM,Pedestrians,20953
Walhalla,ND,3407,US-Canada Border,02/01/1996 12:00:00 AM,Trucks,626
Alcan,AK,3104,US-Canada Border,02/01/1996 12:00:00 AM,Rail Containers Full,0
Calexico East,CA,2507,US-Mexico Border,02/01/1996 12:00:00 AM,Buses,0
Baudette,MN,3424,US-Canada Border,02/01/1996 12:00:00 AM,Trucks,586
Champlain-Rouses Point,NY,712,US-Canada Border,02/01/1996 12:00:00 AM,Rail Containers Empty,0
Norton,VT,211,US-Canada Border,02/01/1996 12:00:00 AM,Rail Containers Full,826
Pinecreek,MN,3425,US-Canada Border,02/01/1996 12:00:00 AM,Train Passengers,0
Fortuna,ND,3417,US-Canada Border,02/01/1996 12:00:00 AM,Pedestrians,0
Raymond,MT,3301,US-Canada Border,02/01/1996 12:00:00 AM,Personal Vehicle Passengers,3681
Fort Fairfield,ME,107,US-Canada Border,02/01/1996 12:00:00 AM,Trucks,1202
Opheim,MT,3317,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Full,0
Trout River,NY,715,US-Canada Border,02/01/1996 12:00:00 AM,Personal Vehicles,11814
Pembina,ND,3401,US-Canada Border,02/01/1996 12:00:00 AM,Train Passengers,0
Opheim,MT,3317,US-Canada Border,02/01/1996 12:00:00 AM,Trains,0
Columbus,NM,2406,US-Mexico Border,02/01/1996 12:00:00 AM,Truck Containers Full,85
Laurier,WA,3016,US-Canada Border,02/01/1996 12:00:00 AM,Personal Vehicle Passengers,8989
Scobey,MT,3309,US-Canada Border,02/01/1996 12:00:00 AM,Buses,0
Warroad,MN,3423,US-Canada Border,02/01/1996 12:00:00 AM,Rail Containers Empty,0
Pembina,ND,3401,US-Canada Border,02/01/1996 12:00:00 AM,Personal Vehicles,10981
Bridgewater,ME,127,US-Canada Border,02/01/1996 12:00:00 AM,Pedestrians,0
Del Bonita,MT,3322,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Empty,17
Del Bonita,MT,3322,US-Canada Border,02/01/1996 12:00:00 AM,Pedestrians,19
Tornillo-Fabens,TX,2404,US-Mexico Border,02/01/1996 12:00:00 AM,Train Passengers,0
Otay Mesa,CA,2506,US-Mexico Border,02/01/1996 12:00:00 AM,Trucks,38871
Massena,NY,704,US-Canada Border,02/01/1996 12:00:00 AM,Trains,0
Turner,MT,3306,US-Canada Border,02/01/1996 12:00:00 AM,Truck Containers Full,51
Grand Portage,MN,3613,US-Canada Border,02/01/1996 12:00:00 AM,Bus Passengers,3351
Neche,ND,3404,US-Canada Border,02/01/1996 12:00:00 AM,Personal Vehicles,3249
Hidalgo,TX,2305,US-Mexico Border,02/01/1996 12:00:00 AM,Rail Containers Empty,0
Dunseith,ND,3422,US-Canada Border,02/01/1996 12:00:00 AM,Train Passengers,0
